title,original_title,overview,release_date
Blood of the Tribades,Blood of the Tribades,"A vampire named Bathor turned an entire village to vampires, stuck around long enough to teach them to survive, and then promised to return in 2000 years after conquering the rest of the continent. The only problem with this plan is that the vampires, although immortal, have only a limited capacity for memory. As time passes, they forget their utopian society and led by the totalitarian zealot Grando, become paranoid, superstitious fundamentalists, splitting their society by race and gender lines, seeking to destroy those who are deemed sinful. Long-forgotten lovers Élisabeth and Fantine find that, with the help of those who were banished in the past, it is their fate to piece together the past and help preserve the little that remains before Bathor’s impending return.",2016-03-27
Stellar Quasar and the Scrolls of Dadelia,Stellar Quasar and the Scrolls of Dadelia,"Captain Stellar Quasar and the crew of the Aticus Lem agree to transport a passenger on a mysterious quest into the forbidding Uncharted Quadrant. But the strange UQ is not the only danger the crew will meet. They have to avoid a repo ship, the all-powerful Corporation, the crazed cult leader Zoltan, and the ruthless God Squad, all out to beat the Aticus Lem to the UQ and the Scrolls of Dadelia.",2016-09-20
The Suffering,The Suffering,A man fights for his sanity when he finds himself trapped on a rural farm inhabited by sinister beings overseen by a mysterious caretaker.,2016-07-29
Hav Faith,Hav Faith,"Hamilton A. Vaughn a former promoter, better known as HAV, experiences a life changing incident that catapults him to the forefront of prominent Mission Church. There he meets an old friend Faith; as well as AJ, son of the retiring Bishop, who is less than pleased with the appointment of Hamilton and is determined to oust the new overseer no matter what the costs. Hav Faith is a modern day telling of the story of Joseph; where against all odds, obstacles and over-zealous evildoers; we should always Hav Faith in the Most High God to bring us out.",2016-08-15
Tickled,Tickled,"Journalist David Farrier stumbles upon a mysterious tickling competition online. As he delves deeper he comes up against fierce resistance, but that doesn’t stop him getting to the bottom of a story stranger than fiction.",2016-05-26
White Lily,ホワイトリリー,"Two women, Tokiko, a ceramic artist, and her apprentice, Haruka, are in a relationship. The couple is not an intrinsic lesbian, but they fell for each other by chance.",2016-10-07
Jackie,Jackie,"An account of the days of First Lady, Jacqueline Kennedy, in the immediate aftermath of John F. Kennedy's assassination in 1963.",2016-12-02
Oranges Don't Grow On Trees,Oranges Don't Grow On Trees,Six human batteries rise up against their troubled tyrant.,2016-10-14
Happiness,幸運是我,"After his mother's death, Chan Kai-yuk feels so alone that he leaves Guangzhou for Hong Kong to look up the father who abandoned him and his mom. But Yuk's hopes are dashed on finding his dad has a new family and considers him a burden. Alone and homeless, Yuk is taken in by Auntie Fen, a middle-aged recluse who leads a solitary existence. At first, their different habits and personalities lead to numerous squabbles, intensified by Yuk's self-centeredness and Fen's odd temperament. As time goes on, Yuk learns Fen is in the early stages of Alzheimer's. The discovery unexpectedly serves as a catalyst for the young man's growth as a caring friend. For the first time in her life, Fen feels truly blessed. But it is a situation rife with irony due to the nature of her disease and the accelerating elusiveness of feelings and memories.",2016-09-08
RD20,RD20,"The documentary tracks the making of Reasonable Doubt, Hova's rise to stardom, and the legacy of the iconic album. Directed by Scheme Engine, the doc is broken up into segments named for the album's tracks (""Brooklyn's Finest,"" ""Can't Knock The Hustle,"" ""Politics As Usual"" ""Friend or Foe,"" ""Dead Presidents II""). The film features interviews from members of the Reasonable Doubt production team (DJ Clark Kent, DJ Premier, Ski) as well as album cover photographer Jonathan Mannion, Reasonable Doubt guest artist Memphis Bleek, and Roc-a-Fella co-founder Kareem ""Biggs"" Burke. Lest you think the doc will be exclusively talking heads, the film also features footage of Jay Z performing tracks off the album in a studio and at Barclays Center.",2016-06-25
The New Man,The New Man,"A creative documentary about becoming a parent... and how to reconceive yourself. Fiction director Josh Appignanesi turns the camera on himself and his wife as they undergo the ordeal of becoming parents in the era of man-children and assisted reproduction. Faced with fatherhood, Josh spirals comically into an envious career funk. But life-threatening complications emerge- the couple are tested to the brink, confronting shattering losses. It's a portrait of our generation going through a revolution in reproduction- forced to find new ways to think about ourselves as creative beings. We hear from Slavoj Žižek, John Berger, Darian Leader (20,000 Days) and Zadie Smith. Universal yet still taboo, it's a film for everyone who has children, wants them, or still feels like a child themselves.",2016-11-18
A Cinderella Story: If the Shoe Fits,A Cinderella Story: If the Shoe Fits,A contemporary musical version of the classic Cinderella story in which the servant step daughter hope to compete in a musical competition for a famous pop star.,2016-08-02
Coco,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",2017-10-27
It,It,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",2017-09-06
Amityville Exorcism,Amityville Exorcism,"A family must put faith in a mysterious priest when an demonic force, connected to a decades-old murders in their home, possesses their daughter.",2017-01-03
Pork Pie,Pork Pie,"A trio of accidental outlaws travel the length of New Zealand, protesting conformity and chasing lost love, with a posse of cops and a media frenzy in pursuit.",2017-02-02
Hollywood Dirt,Hollywood Dirt,"Hollywood arrives in force to Quincy, the small town where the secret Crown Cola billionaire's live. They want to film about the billionaire's and how they made their fortunes. Summer Jenkins, who was the town pariah, joins forces with the scout, Ben, and finds filming locations, extras, lessons with the town officials and house owners, etc. When Cole Masten arrives, they hate each other, but sparks fly. Cole is running from a nasty divorce, yet is captivated by Summer. Summer is dying to leave town to get away from the gossip. This is a great story about Southern customs, a Southern girl, and a Hollywood star who finds his lady.",2017-09-01
Killing Gunther,Killing Gunther,"A group of eccentric assassins are fed up with Gunther, the world's greatest hitman, and decide to kill him – but their plan turns into a series of bungled encounters as Gunther seems to always be one step ahead.",2017-09-22
The Shack,The Shack,"A grieving man receives a mysterious, personal invitation to meet with God at a place called 'The Shack'.",2017-03-03
Remembering Agatha,Remembering Agatha,"For Agatha, Christmas triggers sadness. She yearns for freedom laced with imagination, when magical creatures were part of a game played with friends in the forest. The death of her parents after a 1978 Christmas Party still haunts Agatha. She sees similarities between her parents' unhappy marriage and her own. The Black Madonna statue from her childhood visits Agatha, escalating her anxiety and goading her towards change. The discovery of a mysterious portal offers Agatha the possibility of resolving her grief and saving her crumbling marriage.",2017-10-10
Mary Shelley,Mary Shelley,"The love affair between poet Percy Shelley and Mary Wollstonecraft Godwin resulted in the creation of an immortal novel, “Frankenstein; or, The Modern Prometheus.”",2017-08-06
The Veil,The Veil,"Set in a war-torn land where tribal factions live in fear of annihilation, the film tells the story of a deadly warrior leading a destructive war campaign. When he is betrayed by his own and left for dead, he is healed by a mysterious princess and taken in by a hidden tribe that believes he was chosen to wage a final battle.",2017-01-19
Abduction,Abduction,"A horror comedy spoofing conspiracy theory moves, girl victim films, and Alien Grey abduction movies.  Melissa rescues a young woman from a mental hospital where no-one believes she is a victim of abduction by aliens. She and a colleague try to prevent the aliens from taking her but a government agent seems to be hot on her trail, and the Alien Greys and their powerful leader, The Hive Queen have no intention of being stopped. An outrageous mix of graphic horror and dark twisted humor.",2017-06-28
Altitude,Altitude,A female FBI agent is offered millions to help a thief escape from a hijacked airplane.,2017-04-14
Sun Dogs,Sun Dogs,A man eager to serve his country but rejected by the Marines pairs up with a young runaway to form an unlikely team on a misguided adventure.,2017-06-18
Beach House,Beach House,"Emma's quiet beach retreat takes an unsettling turn with the arrival of an enigmatic artist out of her mother's past. He challenges, enthralls, and frightens her, as she comes to suspect him of a terrible crime.",2017-10-20
Freedom Besieged,Freedom Besieged,"Freedom Besieged is a feature-length documentary concerning the economic and political climate of Greece and specifically how such has impacted the development and psychology of the nation's youth. Treading fearlessly into what has been called a ""humanitarian catastrophe"", the film explores the pursuits of Greek youth living within the country's crisis. Freedom Besieged is an intimate portrait of a young Greek generation who serve as the focal point for the future of European youth today.",2017-01-27
Aftermath,Aftermath,"A fatal plane crash changes the lives of Roman and Jake forever. Roman loses his wife and daughter in the accident, while Jake loses his mind—as he happens to be the air traffic controller who failed to avert the nightmare. Rage and revenge engulfs Roman and Jake finds himself swamped with guilt and regret.",2017-02-28
American Satan,American Satan,"A young rock band, half from England and half from the US, drop out of college and move to the Sunset Strip to chase their dreams.",2017-10-13
Descendants 2,Descendants 2,"When the pressure to be royal becomes too much for Mal, she returns to the Isle of the Lost where her archenemy Uma, Ursula's daughter, has taken her spot as self-proclaimed queen.",2017-07-21
A Family,Una Famiglia,"Vincent was born near Paris, but has cut off every link with his roots. Maria, fifteen years younger, grew up in Ostia, but no longer sees her family. Together they form a couple that does not seem to need anyone. They lead a secluded life in contemporary Rome, indolent and distracted. Furthermore, Vincent and Maria are good at blending in with their environment. When they return home, they make love with the passion of young lovers in a suburban apartment that she has carefully furnished. Yet, on closer inspection, their everyday life betrays what lies behind their seemingly normal appearance: a project carried out by him with a clear determination and accepted by her only by virtue of unconditional love. A plan to help couples who cannot have children. Maria decides that it is time to create a real family. This choice has an inevitable consequence: the rebellion against Vincent, the man of her life.",2017-09-28
"Everything, Everything","Everything, Everything","A teenager who's lived a sheltered life because she's allergic to everything, falls for the boy who moves in next door.",2017-05-18
"Everything, Everything","Everything, Everything","A teenager who's lived a sheltered life because she's allergic to everything, falls for the boy who moves in next door.",2017-05-18
American Violence,American Violence,A psychologist interviews a death row inmate to determine whether or not a stay of execution should be granted.,2017-02-03
Godard Mon Amour,Le Redoutable,"In 1967, during the making of “La Chinoise,” film director Jean-Luc Godard falls in love with 19-year-old actress Anne Wiazemsky and marries her.",2017-06-24
Wonder Woman,Wonder Woman,An Amazon princess comes to the world of Man in the grips of the First World War to confront the forces of evil and bring an end to human conflict.,2017-05-30
T2 Trainspotting,T2 Trainspotting,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud and Begbie.",2017-01-27
Sand Castle,Sand Castle,"Set during the occupation of Iraq, a squad of U.S. soldiers try to protect a small village.",2017-04-21
The Wall,The Wall,An American sniper and his spotter engage in a deadly cat-and-mouse game with an Iraqi sniper.,2017-05-12
The Lodgers,The Lodgers,"1920, rural Ireland. Anglo-Irish twins Rachel and Edward share a strange existence in their crumbling family estate. Each night, the property becomes the domain of a sinister presence (The Lodgers) which enforces three rules upon the twins: they must be in bed by midnight; they may not permit an outsider past the threshold; and if one attempts to escape, the life of the other is placed in jeopardy. When troubled war veteran Sean returns to the nearby village, he is immediately drawn to the mysterious Rachel, who in turn begins to break the rules set out by The Lodgers. The consequences pull Rachel into a deadly confrontation with her brother - and with the curse that haunts them.",2017-10-05
Dark River,Dark River,"After her father dies, a young woman returns to her Yorkshire village for the first time in 15 years to claim the family farm she believes is hers.",2017-10-07
Brigsby Bear,Brigsby Bear,"Brigsby Bear Adventures is a children's TV show produced for an audience of one: James. When the show abruptly ends, James's life changes forever, and he sets out to finish the story himself.",2017-07-27
Cocote,Cocote,"A rapturous crime fable set in the Dominican Republic, Nelson Carlo De Los Santos Arias’ COCOTE follows Alberto, a kind-hearted gardener returning home to attend his father’s funeral. When he discovers that a powerful local figure is responsible for his father’s death, Alberto realizes that he’s been summoned by his family to avenge the murder. It’s an unthinkable act — especially for him, an Evangelical Christian. But as pressure mounts, he sees few ways out. Questions of faith, tradition and honor course through this electrifying film, which, seemingly at the speed of thought itself, jumps between film formats, colors, and aspect ratios, radically envisioning a community torn asunder by senseless violence.",2017-08-21
Jackals,Jackals,"Set in the 1980s, an estranged family hires a cult deprogrammer to take back their teenage son from a murderous cult, but find themselves under siege when the cultists surround their cabin, demanding the boy back.",2017-09-01
The Cured,The Cured,"What happens when the undead return to life? In a world ravaged for years by a virus that turns the infected into zombie-like cannibals, a cure is at last found and the wrenching process of reintegrating the survivors back into society begins.",2017-11-24
Black Butterfly,Black Butterfly,"Paul is a down-on-his-luck screenwriter who picks up a drifter and offers him a place to stay. However, when the deranged stranger takes Paul hostage and forces him to write, their unhinged relationship brings buried secrets to light.",2017-05-26
Sweet Virginia,Sweet Virginia,"A former rodeo star, now a motel manager, meets a young man who is responsible for the violence that suddenly has seized his small town.",2017-11-17
Armed Response,Armed Response,The story follows a team of highly trained operatives who find themselves trapped inside an isolated military compound.,2017-08-04
Stephanie,Stephanie,"After a mysterious global crisis, a young girl is left alone to hide from a malevolent power that stalks her home. Her parents eventually return and the struggle begins to save their daughter.",2017-04-27
Deadly Exposé,Deadly Exposé,"When several carnal murders in a small beach town are linked to the public release of a discreet dating app's client information, detective Maxine Payton suspects the killer may be someone intimately close to her.",2017-05-01
China Salesman,China Salesman,"Yan Jian, a young Chinese IT engineer who volunteers to go to North Africa and help the company he works for to win a competition. The winner can own the right to control the communication between south and north. French spy Michael works for the West. His boss ordered him to go to the North Africa and win the competition, and they can control the great mineral resources of Africa. He hired the best mercenary in Africa whose name is Lauder and a former general Kabbah to help him. Yan has discovered their conspiracy, he is the only one who can stop them.",2017-06-16
After Dark,After Dark,"An act of violence resonates through the night, touching  upon the lives of different characters, who otherwise would not necessarily exist in each other’s daily narrative. The story is seen through the self contained world of seven characters as they drift along the otherwise mundane night meandering around the graphical symmetry of a ‘modern’ city.  The story is based on excerpts taken from a novel by Haruki Murakami by the same name",2017-04-19
Dead Trigger,Dead Trigger,"2021 - 5 years after the outbreak of a mysterious virus that turned humans into bloodthirsty, undead beasts much of the world’s population has been decimated. When governments were unable to keep the disease at bay, the Contagion Special Unit was formed with the toughest soldiers and best specialists to fight the infected. Because of the rapidly decreasing number of soldiers, a popular online video game Dead Trigger that mirrors the terrifying events was created. The best efforts of the gamers are monitored by the CSU who recruit the highest rated zombie killers. The young recruits are called “Dead Triggers”. The movie follows a group of young recruits who must travel to the origin of the outbreak to find a missing team of scientists who were searching for a cure.",2017-07-19
Clowntergeist,Clowntergeist,"Emma, a college student with a crippling fear of clowns, must come face to face with her worst fear when an evil spirit in the body of a clown is summoned terrorizing the town she calls home.",2017-09-12
Hangman,Hangman,"A homicide detective teams up with a criminal profiler to catch a serial killer whose crimes are inspired by the children's game, Hangman.",2017-12-22
Champion,Champion,"In the supercharged world of dirt track racing, a single mistake causes the lives of two men to change forever. One must fight for his family, the other must fight to forgive.",2017-05-19
Mother's Job,엄마의 직업,"A young man falls in love with his friend's mother.  Hyun-woo, who returned to the military, starts a part-time job at a bar in a difficult situation, where he meets Yoo-sun, a woman who captures the hearts of customers with her skillful ways. Then one day, Hyun-woo, who was alone with her, finds himself in a shock with his friends Min-seok and Yoo-sun. When Hyun-woo confesses the truth after a hard time, Yoo-sun asks her to keep her relationship secret. Hyun-woo, who failed to reject Min-seok's proposal to live in his own home, begins a breathtaking cohabitation with Yoo-sun.",2017-07-27
The Vault,The Vault,Two estranged sisters are forced to rob a bank in order to save their brother. But this is no ordinary bank.,2017-09-01
Mayhem,Mayhem,A virus spreads through an office complex causing white collar workers to act out their worst impulses.,2017-11-10
Cars 3,Cars 3,"Blindsided by a new generation of blazing-fast racers, the legendary Lightning McQueen is suddenly pushed out of the sport he loves. To get back in the game, he will need the help of an eager young race technician with her own plan to win, inspiration from the late Fabulous Hudson Hornet, and a few unexpected turns. Proving that #95 isn't through yet will test the heart of a champion on Piston Cup Racing’s biggest stage!",2017-06-15
Blade Runner 2049,Blade Runner 2049,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",2017-10-04
Be Afraid,Be Afraid,"Not long after John Chambers and his family arrive at their new home in a small country town of Pennsylvania, John begins to experience sleep paralysis. Lying there paralyzed, trapped within his own nightmare, other-worldly beings visit John. They are entities which exist in the darkest shadows of the night and can only be seen out of the corner of one's eye. These encounters begin to haunt John, transforming to complete terror as he discovers the entities' sole purpose... the abduction of his seven year old son. In the end, John will uncover the town's horrific secret, a portal on his land, and make one last attempt to save his son before the shadow people permanently take him away to their world.",2017-04-26
Bokeh,Bokeh,"On a romantic getaway to Iceland, a young American couple wake up one morning to discover every person on Earth has disappeared. Their struggle to survive and to reconcile the mysterious event lead them to reconsider everything they know about themselves and the world.",2017-03-24
Strange Rituals,Strange Rituals,"After a night of heavy drinking, Jeanne and Deb take an empty road through the backwoods to avoid traffic where they unexpectedly hit a mysterious woman that quickly vanishes into a field. Plagued with guilt and unable to go to the police, the girls decide to investigate with the help of some friends. But when their peers start to die or inexplicably vanish, it becomes clear that a bigger, sinister force is at work as Jeanne is thrown into a bizarre conflict with the undead and a sinister voodoo priest with malicious intentions.",2017-03-20
The Whiskey Bandit,A Viszkis,"Between 1993 and 1999, one man robbed 29 financial institutions in Budapest. Banks, post offices and even travel agencies fell victim to his crime spree. The police had no leads and no hope of finding him during his six-year stint. The only clue left behind at the crime scenes was the distinct aroma of whiskey. The media christened him the “Whiskey Bandit”. Never physically harming anyone, many began to eagerly follow his escapades through the media. A Transylvanian immigrant, who also happened to be a goalie for one of the city's largest hockey teams, named Attila Ambrus, was finally identified as the “Whiskey Bandit”. The police had finally captured him... or so they thought.",2017-11-23
Rememory,Rememory,The widow of a wise professor stumbles upon one of his inventions that's able to record and play a person's memory.,2017-09-08
Crooked House,Crooked House,"A private investigator helps a former flame solve the murder of her wealthy grandfather, who lived in a sprawling estate surrounded by his idiosyncratic family.",2017-09-06
Drone,Drone,Ideologies collide with fatal results when a military drone contractor meets an enigmatic Pakistani businessman.,2017-05-26
Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,"Thrust into an all-new adventure, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of survival lies in seeking out the legendary Trident of Poseidon, but to find it, he must forge an uneasy alliance with a brilliant and beautiful astronomer and a headstrong young man in the British navy.",2017-05-23
Tainted Souls,Il contagio,"The lives of the tenants of a lower-class apartment building in the outskirts intersect on a backdrop of crime, drug dealing, confused feelings and tainted relationships, in a lucid portrait of contemporary Rome. Marcello, a bisexual former body builder married with Chiara, has an affair with the bourgeois professor Walter; the ambitious Mauro and cold-blooded dealer and his wife Simona get involved in the ambiguous business of the local boss Carmine to move up to the elegant and cruel circles of central Rome that profit from the public funds for the disadvantaged; Valeria and her son Attilio, Flaminia and her violent husband Bruno face the daily difficulties of their troubled lives. The corrupted powers of urban speculation invade a suspended corner of the suburbs, contaminating the lives of a group of lost souls,revealing the desperate world of the slum and the pitiless scene of the city center as the hidden face of the same coin.",2017-09-28
OtherLife,OtherLife,"Ren Amari is the driven inventor of a revolutionary new drug. OtherLife expands the brain's sense of time and creates virtual reality directly in the user's mind. With OtherLife, mere seconds in real life feel like hours or days of exciting adventures. As Ren and her colleagues race around the clock to launch OtherLife, the government muscles in to use the drugs as a radical solution to prison overcrowding. They will create virtual cells where criminals serve long sentences in just minutes of real time. When Ren resists, she finds herself an unwilling guinea pig trapped in a prison cell in her mind. She must escape before she descends into madness, and then regain control of OtherLife before others suffer the same fate.",2017-06-16
Vaselinetjie,Vaselinetjie,"At the age of 8, Vaselinetjie is taken away by the Welfare and send to the orphanage. It's a strange, hard, dangerous world of rebel children, fierce house mothers,friends, first loves and where she finally finds true self-acceptance.",2017-09-22
The House,The House,"When Scott and Kate Johansen’s daughter gets into the college of her dreams it’s cause for celebration. That is, until Scott and Kate learn that the scholarship they were counting on didn’t come through, and they’re now on the hook for tuition they can’t begin to afford. With the help of their friend and neighbor Frank also in need of a major payday they decide to open an illegal casino in his suburban house, risking everything together on a Vegas-style bacchanal where money flows, inhibitions are checked at the door, and all bets are off.",2017-06-29
Revolution: The Legacy of the Sixties,Revolution: The Legacy of the Sixties,"'Revolution: The Legacy of the Sixties' is an exploration of the 1960s Western cultural revolution as it ushers in our contemporary society. 'Revolution' explores, partly through interviews with many of its key instigators, the ground breaking cultural and social transformation of the 1960s as we get to the root of what changed during that period, and why. To what extent is our society and culture today a product of those changes? What does the 60s generation feel remains to be done today to complete the revolution, 50 years on?",2017-08-20
Little Boxes,Little Boxes,"It's the summer before 6th grade, and Clark is the new-in-town biracial kid in a sea of white. Discovering that to be cool he needs to act 'more black,' he fumbles to meet expectations, while his urban intellectual parents Mack and Gina also strive to adjust to small-town living. Equipped for the many inherent challenges of New York, the tight-knit family are ill prepared for the drastically different set of obstacles that their new community presents, and soon find themselves struggling to understand themselves and each other in this new suburban context.",2017-04-14
Lost Generation,Lost Generation,"Cooper, a young American, comes to Berlin to find her missing friend but is soon drawn into the wild, seductive club scene he frequented. This lush musical movie with original songs follows one year in the lives of a group of expats in Berlin's kinetic music scene.",2017-01-13
Spider-Man: Homecoming,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",2017-07-05
The Privates,The Privates,A band struggles with a radioactive energy in their music they can't control.,2017-03-19
Wilson,Wilson,"Middle-aged and divorced, Wilson finds himself lonely, smug, and obsessed with his past.",2017-03-24
The Daughter of Evil - Musical,悪ノ娘 Musical,"The princess who ruled the kingdom, ""Riliane"". The people suffered under her ""tyranny"" while she lived at the height of luxury, imposing heavy taxes on the nation. The result of her childish jealousy eventually bringing their neighboring country to ruin was that the people finally took up arms and surrounded the palace!  The servant who was always by the princess' side, ""Allen"". At that time, what was the horrible act that he took? ""How far will I have to serve you, before you turn to face me?""  This is a story of the ""bond"" between two siblings tossed about by fate and a perishing kingdom.",2017-06-04
My Generation,My Generation,The vivid and inspiring story of British film icon Michael Caine's personal journey through 1960s swinging London.,2017-10-08
Okja,Okja,"A young girl named Mija risks everything to prevent a powerful, multi-national company from kidnapping her best friend - a massive animal named Okja.",2017-06-28
xXx: Return of Xander Cage,xXx: Return of Xander Cage,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",2017-01-13
Window Horses,Window Horses,"Rosie Ming, a young Canadian poet, is invited to perform at a Poetry Festival in Shiraz, Iran, but she’d rather be in Paris. She lives at home with her over-protective Chinese grandparents and has never been anywhere by herself. Once in Iran, she finds herself in the company of poets and Persians, all who tell her stories that force her to confront her past; the Iranian father she assumed abandoned her and the nature of Poetry itself. It’s about building bridges between cultural and generational divides. It’s about being curious. Staying open. And finding your own voice through the magic of poetry.  Rosie goes on an unwitting journey of forgiveness, reconciliation, and perhaps above all, understanding, through learning about her father’s past, her own cultural identity, and her responsibility to it.",2017-03-10
Fabricated City,조작된 도시,"In real life, Kwon Yoo is unemployed, but in the virtual game world he is the best leader. Kwon Yoo is then framed for a murder. With the help of hacker Yeo-Wool, he tries to uncover the truth behind the murder case.",2017-02-09
Seconde Chance,Seconde Chance,"In 1920, Jacques traumatized by the war lives as the reclusive groundskeeper of a cemetery. One night he encounters Henri, a young soldier, risen from his grave.",2017-09-01
Cold Skin,Cold Skin,A young man who arrives at a remote island finds himself trapped in a battle for his life.,2017-10-20
The Kurodians,The Kurodians,"Kuroda Island has been colonised by Thyyland for hundreds of years. In the last 30 years, many Kurodians have been granted Thyy citizenship but in reality are still being treated as second-class citizens. Many Kurodians are gifted with football talent and are called upon to play for the Thyy national team, their presence causing many problems. Also, the Kuroda Independence Movement that has been strengthening lately, causing much anti-Kurodian sentiment in Thyy society...",2017-11-29
MeanMinds,MalaMènti,"Ciccio “O' Pazz” and Ciruzzo “Pesce bello”, are two powerful, blood-soaked Mafia characters. The legacy left to them is a violent, depraved narrative of murderous dominion over the weak. But still, enemies muscling their way into this realm of the wretched. These apparently harmless enemies are nevertheless viewed as potential usurpers by Ciccio and Ciruzzo, who, alienated by their imposed surroundings, develop a deep paranoia towards two animals: Severino, leader of the famous donkeys of Campu Perdu, and Piero, top boar around the Olive field area. The day of reckoning is near. There has to be a showdown. They have to get rid of the two animals. There's no way around it. A letter is delivered. A Pinter-like ultimatum with a crystal-clear demand: it's you or us. Men or animals. Coexistence is out of the question. Power has room for only one big chief. The final, inevitable apocalypse draws near.",2017-09-05
#realityhigh,#realityhigh,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",2017-07-17
Aswang 1933,Ang Aswang,"Khavn resurfaces the lost film 'Aswang.' The first film made in the Philippines to feature optically recorded sound was George Musser's Ang Aswang (The Vampire). In 1932, Musser imported 50,000 PHP worth of optical sound equipment and turned his house into a studio. He spent a year shooting the film with Charles Miller as his cinematographer and William Smith as his soundman. Despite its Tagalog title, the film was actually recorded in Spanish and English. The film opened to acclaim at the Lyric on January 1, 1933, then at the Tivoli on January 4. Unfortunately, according to some observers, the sound was sometimes out of sync and inaudible.",2017-01-01
Arch,Arch,"""ARCH"" is about the adventure between a young girl and the faceless desert warrior that she befriends. M1K3, a fierce some being brought to life from the sand upon the interaction with Lilly. Together the two of them travel the wasteland, and after a short while, M1K3 discovers that Lilly has fatal radiation poisoning, a staple of the nuclear desert. The two of them decide to journey to ""the safe place"" in order to find a cure for Lilly, but to reach it they have to venture through Babylon, the wicked fortress of the wastes, and face the demons that lie within.",2017-08-31
Detroit,Detroit,A police raid in Detroit in 1967 results in one of the largest citizens' uprisings in the history of the United States.,2017-07-28
Groovity,Groovity,"Bobby, a young space guardian is finally assigned to an exceptional mission. This clumsy hero is going to have to face his fears in order to avoid catastrophe.",2017-09-01
Teenage Superstars,Teenage Superstars,"Grant McPhee's sequel to Big Gold Dream picks up where the previous film left off, and continues its thrilling tour of the pre-Britpop, Scottish music scene. It features bands, such as The Bluebells, The Pastels, The Soup Dragons and an early incarnation of Teenage Fanclub; plenty of rich archive footage; and fascinating interviews with some of the key people of the time, including Edwyn Collins, Bobby Gillespie, Jim Reid, Sean Dickson, Eugene Kelly and Alan McGee.",2017-06-22
Piston,Piston,A man in a wheelchair finds himself pursued by a policeman on a motorbike.,2017-09-10
Beautiful Devils,Beautiful Devils,"A modern retelling of Shakespeare's Othello set within the music scene of East London. Oz and Ivan are lifelong friends and music producers. When Oz gets offered a lucrative recording contract, he makes the decision to separate from Ivan professionally. This rejection turns to rage, as Ivan plots to undermine Oz's success and get him kicked off the label. The plan kickstarts an escalation of jealousy and paranoia in Oz. With deadly consequences.",2017-03-22
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,2017-04-19
John Wick: Chapter 2,John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",2017-02-08
Outremer,Outremer,"It's a story about a young boy who is afraid of the sea. He finds shelter, in the house of an old woman who paints the sea.",2017-09-15
Man and a Baby,Yösyöttö,"Antti Pasanen is working as a journalist. His life is on the right tracks; his wife Pia is just about to give birth. Until - in  the front of the Maternity Hospital everything changes. Antti, with the sniffling baby in his arms, sees the taxi´s taillights fading out. Pia is sitting on the backseat; their future as a nuclear family is disappearing. The new life with the baby´s terms begins and Antti has no idea what that’s all about.",2017-10-06
Revolting Rhymes,Revolting Rhymes,Two half-hour animated films based on the much-loved rhymes written by Roald Dahl and illustrated by Quentin Blake.,2017-10-11
Minutes,Minutes,"In this comedy series, shot in single takes, six young people each experience pivotal moments in their lives that don't quite go as planned and lead to various breaking points as a result.",2017-01-15
Breaking the Limits,Najlepszy,"Based on true events. In 1980s Poland, Jerzy Górski is a young man who finds the determination to struggle against his drug addiction through athletic training, with the aim of competing in the US Ironman Triathlon.",2017-11-17
Only the Brave,Only the Brave,Members of the Granite Mountain Hotshots battle deadly wildfires to save an Arizona town.,2017-09-22
